ID,name,price,stock,createdAt,createdBy,modifiedAt,modifiedBy
29756695-9f97-43a2-9a3b-658b9fa25bae,name-29756695,4918927659272.27,75,2001-08-31T00:00:00.000Z,createdBy.hpsev@example.net,2011-09-09T00:00:00.000Z,modifiedBy.hpsev@example.com
8443279a-482c-4006-98f4-10e376f475ba,name-8443279,5472228477901.14,86,2009-06-13T00:00:00.000Z,createdBy.50yvj@example.net,2017-02-05T00:00:00.000Z,modifiedBy.50yvj@example.net
84432805-b3c1-4e5f-bed0-6173af257484,name-8443280,888308163264.29,10,2001-11-06T00:00:00.000Z,createdBy.50yvk@example.org,2005-03-30T00:00:00.000Z,modifiedBy.50yvk@example.org
8443281c-3b51-4bd6-952b-78685b2e886f,name-8443281,4405231792522.64,74,2023-11-22T00:00:00.000Z,createdBy.50yvl@example.com,2012-04-17T00:00:00.000Z,modifiedBy.50yvl@example.net
84432829-edc2-41ac-bb6c-9f6816d6419e,name-8443282,9027993264763.86,12,2017-07-20T00:00:00.000Z,createdBy.50yvm@example.org,2013-04-18T00:00:00.000Z,modifiedBy.50yvm@example.net
8443283f-ac0a-43c2-9d46-fdf65be9eb70,name-8443283,9688972396783.16,89,2011-09-10T00:00:00.000Z,createdBy.50yvn@example.com,2008-02-14T00:00:00.000Z,modifiedBy.50yvn@example.com
8443284a-465f-4071-9929-0691be890ec7,name-8443284,2324263745747.51,52,2022-08-21T00:00:00.000Z,createdBy.50yvo@example.com,2013-03-24T00:00:00.000Z,modifiedBy.50yvo@example.org
84432853-6918-4ca8-9c0b-27ac947efba0,name-8443285,3089086484422.66,66,2011-10-01T00:00:00.000Z,createdBy.50yvp@example.com,2007-04-01T00:00:00.000Z,modifiedBy.50yvp@example.net
8443286f-fc46-411d-b39e-76527a68a6b5,name-8443286,8475681885443.22,98,2017-03-11T00:00:00.000Z,createdBy.50yvq@example.net,2003-09-24T00:00:00.000Z,modifiedBy.50yvq@example.net
84432877-fcec-4603-b724-ea7fe86308d4,name-8443287,3168563259852.59,40,2009-02-25T00:00:00.000Z,createdBy.50yvr@example.org,2019-11-05T00:00:00.000Z,modifiedBy.50yvr@example.org
84432882-4367-421a-9e81-f9581c73eb42,name-8443288,5645797658654.17,10,2017-11-08T00:00:00.000Z,createdBy.50yvs@example.com,2002-08-10T00:00:00.000Z,modifiedBy.50yvs@example.com
8443289f-98e2-4c3b-8222-34ed1c3be316,name-8443289,4375231703146.12,56,2006-11-25T00:00:00.000Z,createdBy.50yvt@example.org,2019-01-05T00:00:00.000Z,modifiedBy.50yvt@example.net
84432909-d9e9-4a2d-987c-bec40acec46f,name-8443290,7869247168862.54,66,2021-06-26T00:00:00.000Z,createdBy.50yvu@example.com,2017-09-06T00:00:00.000Z,modifiedBy.50yvu@example.org
8443291e-796f-4812-97f7-6ee2402d08c2,name-8443291,8047942929241.04,46,2006-07-14T00:00:00.000Z,createdBy.50yvv@example.com,2002-01-08T00:00:00.000Z,modifiedBy.50yvv@example.com
84432920-497e-4c9a-8dce-227dbe264d46,name-8443292,2519034747824.31,15,2013-08-21T00:00:00.000Z,createdBy.50yvw@example.org,2023-05-03T00:00:00.000Z,modifiedBy.50yvw@example.net
